approved_symbol,hgnc_id,evidence_count,source_count_percentile,pLI,oe_lof,lof_z,mis_z,omim_summary,gencc_summary,clingen_summary,clinvar,clinical_groups_p,onset_groups_p,syndromic_groups_p,mgi_phenotype,interaction_score,stringdb_interaction_sum_score,stringdb_interaction_normalized_score,stringdb_interaction_string,expression_score,gtex_kidney_medulla,gtex_kidney_cortex,descartes_kidney_tpm,cur_id
AHI1,21575,5,4.07431328977996,NULL,NULL,NULL,NULL,Joubert syndrome 3[OMIM:608629]-Autosomal recessive inheritance,"Definitive, Definitive, Definitive (Joubert syndrome 3[MONDO:0012078]-Autosomal recessive) | Definitive (Joubert syndrome 17[MONDO:0013824]-Autosomal recessive) | Supportive (Joubert syndrome with ocular defect[MONDO:0016364]-Autosomal recessive) | Supportive (Joubert syndrome[MONDO:0018772]-Autosomal recessive) | Supportive (retinitis pigmentosa[MONDO:0019200]-Autosomal dominant) | Limited (retinitis pigmentosa[MONDO:0019200]-Autosomal recessive)",Definitive (Joubert syndrome 3[MONDO:0012078]-AR),P:118; LP:52; VUS:504,OMIM:608629 (cyst_cilio: 0.223 | glomerulopathy: 0.135 | tubulopathy: 0.042 | cakut: 0.04 | complement: 0.036 | nephrocalcinosis: 0.021 | cancer: 0.02),NULL,OMIM:608629 (syndromic: 0.065 | neurologic: 0.097),hm (false); ht (false),0,NULL,NULL,NULL,0.5,6.20866,3.4861800000000005,195.665363692671,cur_011
AIRE,360,3,1.963494598722141,0,0.77454,1.0879,-0.002056,"Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia[OMIM:240300]-Autosomal dominant inheritance | Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia[OMIM:240300]-Autosomal recessive inheritance","Strong, Moderate (autoimmune polyendocrine syndrome type 1[MONDO:0009411]-Autosomal dominant) | Definitive, Definitive, Strong, Strong, Supportive (autoimmune polyendocrine syndrome type 1[MONDO:0009411]-Autosomal recessive) | Supportive (familial isolated hypoparathyroidism due to impaired PTH secretion[MONDO:0016000]-Autosomal dominant)",NULL,P:98; LP:97; VUS:288,OMIM:240300 (nephrocalcinosis: 0.174 | tubulopathy: 0.126 | glomerulopathy: 0.018 | cancer: 0.01 | cakut: 0.008 | cyst_cilio: 0.003),OMIM:240300 (neonatal_or_pediatric: 0.262),OMIM:240300 (syndromic: 0.001 | skeletal: 0.004),hm (false); ht (false),0.5,1203,0.2809224318658281,"9606.ENSP00000262367:578, 9606.ENSP00000310668:362, 9606.ENSP00000406229:263",0,0.6048100000000001,0.287119,0.407478467861531,cur_012
ALG1,18294,2,1.5022322151139376,0,1.0878,-0.40528,-2.0466,"Congenital disorder of glycosylation, type Ik[OMIM:608540]-Autosomal recessive inheritance","Definitive, Definitive, Strong, Strong, Supportive (ALG1-congenital disorder of glycosylation[MONDO:0012052]-Autosomal recessive)",NULL,P:37; LP:39; VUS:235,NULL,OMIM:608540 (antenatal_or_congenital: 0.028),OMIM:608540 (syndromic: 0.085 | growth: 0.102 | skeletal: 0.093 | neurologic: 0.139),hm (false); ht (false),0,292,0.0649895178197065,9606.ENSP00000322323:292,0.5,6.993469999999999,4.62066,12.7782683316908,cur_013
ALG5,20266,3,1.5695005782401632,0.46347,0.21546,3.5022,1.0063,Polycystic kidney disease 7[OMIM:620056]-Autosomal dominant inheritance,Limited (polycystic kidney disease 7[MONDO:0031062]-Autosomal dominant),NULL,P:4; LP:0; VUS:7,OMIM:620056 (glomerulopathy: 0.211 | cyst_cilio: 0.21 | tubulopathy: 0.147 | nephrocalcinosis: 0.132 | complement: 0.107 | cakut: 0.077 | cancer: 0.03),OMIM:620056 (adult: 0.218),NULL,hm (false); ht (false),0,486,0.11949685534591195,"9606.ENSP00000237596:323, 9606.ENSP00000357283:163",0.5,19.6716,14.2856,42.7701358084967,cur_014
ALG8,23161,5,3.42825505963297,0,0.55991,2.3123,0.60409,"Congenital disorder of glycosylation, type Ih[OMIM:608104]-Autosomal recessive inheritance | Polycystic liver disease 3 with or without kidney cysts[OMIM:617874]-Autosomal dominant inheritance","Definitive, Strong, Moderate, Supportive (ALG8-congenital disorder of glycosylation[MONDO:0011969]-Autosomal recessive) | Strong, Limited, Limited (polycystic liver disease 3 with or without kidney cysts[MONDO:0054743]-Autosomal dominant)",Limited (polycystic liver disease 3 with or without kidney cysts[MONDO:0054743]-AD),P:19; LP:15; VUS:90,OMIM:617874 (cyst_cilio: 0.092 | cakut: 0.044 | cancer: 0.03 | glomerulopathy: 0.007 | tubulopathy: 0.007),OMIM:608104 (antenatal_or_congenital: 0.899 | neonatal_or_pediatric: 0.402),OMIM:608104 (syndromic: 0.025 | growth: 0.273 | skeletal: 0.023),hm (NA); ht (NA),0,NULL,NULL,NULL,0.5,11.1428,6.21068,46.3951746512086,cur_015
ALG9,15672,5,3.887246333297385,NULL,NULL,NULL,NULL,"Gillessen-Kaesbach-Nishimura syndrome[OMIM:263210]-Autosomal recessive inheritance | Congenital disorder of glycosylation, type Il[OMIM:608776]-Autosomal recessive inheritance","Moderate, Supportive (autosomal dominant polycystic kidney disease[MONDO:0004691]-Autosomal dominant) | Moderate (Gillessen-Kaesbach-Nishimura syndrome[MONDO:0009890]-Autosomal recessive) | Strong, Strong, Limited, Supportive (ALG9-congenital disorder of glycosylation[MONDO:0012117]-Autosomal recessive) | Definitive (ALG9-associated autosomal dominant polycystic kidney disease[MONDO:0700000]-Autosomal dominant)",Definitive (ALG9-associated autosomal dominant polycystic kidney disease[MONDO:0700000]-AD),P:10; LP:5; VUS:153,OMIM:263210 (cyst_cilio: 0.063 | cakut: 0.012 | cancer: 0.01); OMIM:608776 (cyst_cilio: 0.063 | cakut: 0.012 | cancer: 0.01),OMIM:263210 (antenatal_or_congenital: 0.821),OMIM:263210 (syndromic: 0.05 | skeletal: 0.133 | neurologic: 0.029); OMIM:608776 (syndromic: 0.14 | growth: 0.171 | skeletal: 0.112 | neurologic: 0.199),hm (NA); ht (NA),0,191,0.03773584905660377,9606.ENSP00000304941:191,0.5,5.42495,3.78734,29.7142028971484,cur_016
ALMS1,428,5,3.741651647473285,NULL,NULL,NULL,NULL,Alstrom syndrome[OMIM:203800]-Autosomal recessive inheritance,"Definitive, Definitive, Strong, Strong, Strong, Supportive (Alstrom syndrome[MONDO:0008763]-Autosomal recessive)",Definitive (Alstrom syndrome[MONDO:0008763]-AR),P:503; LP:283; VUS:2813,OMIM:203800 (nephrocalcinosis: 0.111 | tubulopathy: 0.105 | glomerulopathy: 0.1 | cyst_cilio: 0.084 | complement: 0.071 | cakut: 0.04 | cancer: 0.02),NULL,OMIM:203800 (syndromic: 0.057 | growth: 0.258 | skeletal: 0.051 | neurologic: 0.057),hm (true); ht (false),0.5,1658,0.36268343815513626,"9606.ENSP00000355250:165, 9606.ENSP00000257861:407, 9606.ENSP00000252699:380, 9606.ENSP00000356319:292, 9606.ENSP00000264499:414",0.5,2.60744,2.35606,112.379069360761,cur_017
ALPL,438,5,2.9040718712206517,3.64e-4,0.40858,2.7113,1.2672,"Odontohypophosphatasia[OMIM:146300]-Autosomal dominant inheritance | Odontohypophosphatasia[OMIM:146300]-Autosomal recessive inheritance | Hypophosphatasia, infantile[OMIM:241500]-Autosomal recessive inheritance | Hypophosphatasia, childhood[OMIM:241510]-Autosomal recessive inheritance | Hypophosphatasia, adult[OMIM:146300]-Autosomal dominant inheritance | Hypophosphatasia, adult[OMIM:146300]-Autosomal recessive inheritance","Definitive, Strong, Supportive (adult hypophosphatasia[MONDO:0007798]-Autosomal dominant) | Definitive, Definitive, Strong, Supportive (infantile hypophosphatasia[MONDO:0009427]-Autosomal recessive) | Definitive, Supportive (childhood hypophosphatasia[MONDO:0009428]-Autosomal dominant) | Definitive, Definitive (childhood hypophosphatasia[MONDO:0009428]-Autosomal recessive) | Supportive (perinatal lethal hypophosphatasia[MONDO:0016605]-Autosomal recessive) | Supportive (odontohypophosphatasia[MONDO:0016607]-Autosomal dominant) | Definitive (hypophosphatasia[MONDO:0018570]-Autosomal recessive)",Definitive (obsolete adult hypophosphatasia[MONDO:0007798]-AD) | Definitive (obsolete infantile hypophosphatasia[MONDO:0009427]-AR) | Definitive (obsolete childhood hypophosphatasia[MONDO:0009428]-AD) | Definitive (obsolete childhood hypophosphatasia[MONDO:0009428]-AR),P:142; LP:172; VUS:184,OMIM:241500 (nephrocalcinosis: 0.174 | tubulopathy: 0.126 | glomerulopathy: 0.018 | cancer: 0.01 | cakut: 0.008 | cyst_cilio: 0.003),NULL,OMIM:146300 (syndromic: 0.004 | skeletal: 0.011); OMIM:241500 (syndromic: 0.039 | growth: 0.184 | skeletal: 0.023 | neurologic: 0.045); OMIM:241510 (syndromic: 0.043 | growth: 0.25 | skeletal: 0.027 | neurologic: 0.043),hm (false); ht (false),0,NULL,NULL,NULL,0,12.3686,26.1397,6.98265366073266,cur_018
AMMECR1,467,2,0.7169685706555018,0.82117,0.099529,2.6449,1.0801,"Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis[OMIM:300990]-X-linked recessive inheritance","Supportive (Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome[MONDO:0010263]-X-linked) | Strong, Moderate (midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis[MONDO:0010516]-X-linked)",NULL,P:4; LP:4; VUS:19,OMIM:300990 (nephrocalcinosis: 0.174 | tubulopathy: 0.126 | cakut: 0.06 | cyst_cilio: 0.021 | glomerulopathy: 0.02 | cancer: 0.01),OMIM:300990 (neonatal_or_pediatric: 0.402),OMIM:300990 (syndromic: 0.091 | growth: 0.25 | skeletal: 0.062 | neurologic: 0.06),hm (false); ht (false),0,NULL,NULL,NULL,0.5,3.2065200000000003,1.8325799999999999,44.7326682221312,cur_019
AMN,14604,5,3.09294934922121,2.65e-4,0.46738,2.1658,0.60643,Imerslund-Grasbeck syndrome 2[OMIM:618882]-Autosomal recessive inheritance,Supportive (Imerslund-Grasbeck syndrome[MONDO:0009853]-Autosomal recessive),NULL,P:12; LP:21; VUS:85,OMIM:618882 (nephrocalcinosis: 0.111 | tubulopathy: 0.105 | glomerulopathy: 0.082 | complement: 0.071 | cyst_cilio: 0.068 | cakut: 0.04 | cancer: 0.02),NULL,NULL,hm (false); ht (false),0.5,1498,0.3417190775681342,"9606.ENSP00000236850:499, 9606.ENSP00000367064:999",0,22.12,57.1196,8.90538941049255,cur_020
ANKFY1,20763,2,1.0969140300565716,NULL,NULL,NULL,NULL,NULL,Supportive (familial idiopathic steroid-resistant nephrotic syndrome[MONDO:0019006]-Autosomal dominant),NULL,P:0; LP:0; VUS:40,NULL,NULL,NULL,hm (false); ht (false),0.5,1123,0.2662473794549266,"9606.ENSP00000265351:161, 9606.ENSP00000231509:165, 9606.ENSP00000264414:647, 9606.ENSP00000242591:150",0.5,10.7907,8.41605,91.6291228638279,cur_021
ANKS6,26724,5,4.165417475241564,7e-6,0.44408,2.8925,-0.075603,Nephronophthisis 16[OMIM:615382]-Autosomal recessive inheritance,Supportive (nephronophthisis 1[MONDO:0009728]-Autosomal recessive) | Supportive (nephronophthisis 2[MONDO:0011190]-Autosomal recessive) | Definitive (nephronophthisis 16[MONDO:0014158]-Autosomal recessive),Definitive (nephronophthisis 16[MONDO:0014158]-AR),P:16; LP:6; VUS:125,OMIM:615382 (cyst_cilio: 0.378 | glomerulopathy: 0.217 | tubulopathy: 0.147 | nephrocalcinosis: 0.132 | cakut: 0.109 | complement: 0.107 | cancer: 0.06),OMIM:615382 (neonatal_or_pediatric: 0.865 | antenatal_or_congenital: 0.821),NULL,hm (true); ht (false),0.5,3336,0.6058700209643606,"9606.ENSP00000262457:790, 9606.ENSP00000338766:897, 9606.ENSP00000242591:150, 9606.ENSP00000268766:968, 9606.ENSP00000362993:531",0.5,8.419960000000001,5.4473199999999995,40.6736413023064,cur_022
ANLN,14082,5,3.333253034796112,0.14261,0.23938,5.3903,0.89692,Focal segmental glomerulosclerosis 8[OMIM:616032]-Autosomal dominant inheritance,Limited (focal segmental glomerulosclerosis 8[MONDO:0014462]-Autosomal dominant) | Supportive (familial idiopathic steroid-resistant nephrotic syndrome[MONDO:0019006]-Autosomal dominant),NULL,P:2; LP:0; VUS:163,OMIM:616032 (glomerulopathy: 0.333 | cyst_cilio: 0.134 | cakut: 0.056 | cancer: 0.05 | tubulopathy: 0.049 | complement: 0.036 | nephrocalcinosis: 0.028),OMIM:616032 (adult: 0.48 | neonatal_or_pediatric: 0.2),NULL,hm (false); ht (false),1,13006,0.9706498951781971,"9606.ENSP00000470972:292, 9606.ENSP00000463784:292, 9606.ENSP00000414321:292, 9606.ENSP00000359345:292, 9606.ENSP00000377789:420, 9606.ENSP00000357283:359, 9606.ENSP00000376410:506, 9606.ENSP00000362680:292, 9606.ENSP00000249442:292, 9606.ENSP00000360141:292, 9606.ENSP00000327943:292, 9606.ENSP00000358866:394, 9606.ENSP00000356319:292, 9606.ENSP00000367721:292, 9606.ENSP00000379616:292, 9606.ENSP00000323421:292, 9606.ENSP00000216181:420, 9606.ENSP00000355922:292, 9606.ENSP00000452762:292, 9606.ENSP00000360532:349, 9606.ENSP00000258439:292, 9606.ENSP00000360540:292, 9606.ENSP00000252699:473, 9606.ENSP00000288235:511, 9606.ENSP00000362924:292, 9606.ENSP00000348849:292, 9606.ENSP00000287647:292, 9606.ENSP00000337088:225, 9606.ENSP00000344314:292, 9606.ENSP00000310668:292, 9606.ENSP00000265970:163, 9606.ENSP00000352264:731, 9606.ENSP00000349658:292, 9606.ENSP00000339191:292, 9606.ENSP00000262518:292, 9606.ENSP00000246957:292, 9606.ENSP00000078429:292, 9606.ENSP00000231509:189, 9606.ENSP00000363435:382, 9606.ENSP00000481646:292",0.5,0.247265,0.184094,22.3061017855685,cur_023
ANOS1,6211,4,2.75862369870357,0.99793,0.095842,4.6876,0.885,Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1)[OMIM:308700]-X-linked recessive inheritance,"Definitive, Strong (hypogonadotropic hypogonadism 1 with or without anosmia[MONDO:0010635]-X-linked) | Supportive (Kallmann syndrome[MONDO:0018800]-Autosomal dominant)",Definitive (hypogonadotropic hypogonadism 1 with or without anosmia[MONDO:0010635]-XL),P:46; LP:15; VUS:50,OMIM:308700 (cakut: 0.048 | cancer: 0.02 | tubulopathy: 0.007 | cyst_cilio: 0.005),OMIM:308700 (antenatal_or_congenital: 0.821 | neonatal_or_pediatric: 0.402),OMIM:308700 (syndromic: 0.018 | growth: 0.001 | neurologic: 0.02),hm (false); ht (false),0.5,2245,0.44863731656184486,"9606.ENSP00000339824:292, 9606.ENSP00000393312:980, 9606.ENSP00000217270:276, 9606.ENSP00000346839:292, 9606.ENSP00000410294:405",0,0.164434,0.191995,NULL,cur_024
AP2S1,565,4,2.377830296997559,0.78518,0.10592,2.5458,2.8609,"Hypocalciuric hypercalcemia, type III[OMIM:600740]-Autosomal dominant inheritance","Limited (autism spectrum disorder[MONDO:0005258]-Autosomal dominant) | Strong, Strong, Strong (familial hypocalciuric hypercalcemia 3[MONDO:0010926]-Autosomal dominant)",NULL,P:3; LP:0; VUS:21,OMIM:600740 (tubulopathy: 0.238 | nephrocalcinosis: 0.236 | glomerulopathy: 0.093 | cyst_cilio: 0.081 | complement: 0.071 | cakut: 0.056 | cancer: 0.03),NULL,OMIM:600740 (syndromic: 0.003 | skeletal: 0.003 | neurologic: 0.006),hm (false); ht (false),0,NULL,NULL,NULL,0.5,78.0276,58.5632,38.6568037897832,cur_025
APOA1,600,5,3.2129498453100007,5.49e-4,0.68041,0.87943,0.50968,"Hypoalphalipoproteinemia, primary, 2[OMIM:618463]-Autosomal recessive inheritance | Amyloidosis, 3 or more types[OMIM:105200]-Autosomal dominant inheritance | Hypoalphalipoproteinemia, primary, 2, intermediate[OMIM:619836]-Autosomal dominant inheritance","Definitive, Strong (familial visceral amyloidosis[MONDO:0007099]-Autosomal dominant) | Supportive (AApoAI amyloidosis[MONDO:0019731]-Autosomal dominant) | Supportive (apolipoprotein A-I deficiency[MONDO:0100189]-Autosomal dominant)",NULL,P:25; LP:5; VUS:96,OMIM:105200 (complement: 0.179 | glomerulopathy: 0.173 | cancer: 0.05 | nephrocalcinosis: 0.042 | tubulopathy: 0.035 | cakut: 0.024 | cyst_cilio: 0.018),OMIM:618463 (adult: 0.372),OMIM:105200 (syndromic: 0.002 | neurologic: 0.004); OMIM:618463 (syndromic: 0 | skeletal: 0.001),hm (false); ht (false),1,12997,0.9685534591194969,"9606.ENSP00000381448:269, 9606.ENSP00000231509:292, 9606.ENSP00000287600:161, 9606.ENSP00000414398:334, 9606.ENSP00000377836:499, 9606.ENSP00000362924:224, 9606.ENSP00000264005:990, 9606.ENSP00000245907:883, 9606.ENSP00000322323:499, 9606.ENSP00000396688:414, 9606.ENSP00000237014:892, 9606.ENSP00000264896:349, 9606.ENSP00000252486:996, 9606.ENSP00000312987:413, 9606.ENSP00000356969:997, 9606.ENSP00000317674:997, 9606.ENSP00000416561:361, 9606.ENSP00000299155:499, 9606.ENSP00000466775:974, 9606.ENSP00000346839:723, 9606.ENSP00000261267:266, 9606.ENSP00000367064:965",0.5,0.690074,0.574734,11.2430088159141,cur_026
APOA2,601,2,1.2745528353691342,0.0448,0.65054,0.56781,0.31347,"{Hypercholesterolemia, familial, modifier of}[OMIM:143890]-Autosomal dominant inheritance | {Hypercholesterolemia, familial, modifier of}[OMIM:143890]-Autosomal recessive inheritance",Supportive (apolipoprotein A-II amyloidosis[MONDO:0016533]-Autosomal dominant),NULL,P:2; LP:0; VUS:8,NULL,NULL,OMIM:143890 (syndromic: 0 | skeletal: 0.001),hm (false); ht (false),0.5,6063,0.7861635220125787,"9606.ENSP00000416561:454, 9606.ENSP00000236850:997, 9606.ENSP00000317674:795, 9606.ENSP00000377836:499, 9606.ENSP00000252486:997, 9606.ENSP00000466775:951, 9606.ENSP00000322323:499, 9606.ENSP00000264005:871",0,0.445279,0.30801100000000003,0.362676970091312,cur_027
