approved_symbol,panel_diagnostic,panel_diagnostic_count,hgnc_id
AGT,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,13,HGNC:333
AGTR1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,12,HGNC:336
AGXT,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:341
AHI1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:21575
AIPL1,centogene_nephrology,1,HGNC:359
AKR1D1,centogene_nephrology,1,HGNC:388
AKT2,mgz_nephrologie,1,HGNC:392
ALDH1A2,cegat_kidney_diseases_genes,1,HGNC:15472
ALDOB,centogene_nephrology,1,HGNC:417
ALG1,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,4,HGNC:18294
ALG5,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie,3,HGNC:20266
ALG8,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,8,HGNC:23161
ALG9,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,8,HGNC:15672
ALMS1,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,8,HGNC:428
ALPL,centogene_nephrology; cegat_kidney_diseases_genes; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,8,HGNC:438
AMER1,centogene_nephrology,1,HGNC:26837
AMN,invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel,5,HGNC:14604
ANKFY1,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel,2,HGNC:20763
ANKH,centogene_nephrology,1,HGNC:15492
ANKS6,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:26724
ANLN,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:14082
ANO5,centogene_nephrology,1,HGNC:27337
ANOS1,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,9,HGNC:6211
AP2S1,centogene_nephrology; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,5,HGNC:565
APOA1,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,4,HGNC:600
APOC2,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:609
APOE,cegat_kidney_diseases_genes; mgz_nephrologie; mayocliniclabs_renal_genetics,4,HGNC:613
APOL1,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:618
APPL1,mgz_nephrologie,2,HGNC:24035
APRT,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,8,HGNC:626
AQP2,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,7,HGNC:634
ARHGAP24,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,7,HGNC:25361
ARHGAP31,centogene_nephrology,1,HGNC:29216
ARHGDIA,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:678
ARL13B,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,8,HGNC:25419
ARL3,centogene_nephrology; cegat_kidney_diseases_genes; blueprintgenetics_nephrology,3,HGNC:694
ARL6,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:13210
ARMC5,centogene_nephrology,1,HGNC:25781
ARMC9,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie; blueprintgenetics_nephrology,5,HGNC:20730
ARSL,centogene_nephrology,1,HGNC:719
ATP1A1,cegat_kidney_diseases_genes,1,HGNC:799
ATP6V0A4,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:866
ATP6V1B1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:853
ATP6V1C2,preventiongenetics_comprehensive_inherited_kidney_diseases_panel,1,HGNC:18264
ATP7B,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,5,HGNC:870
ATP8B1,centogene_nephrology,1,HGNC:3706
ATR,centogene_nephrology,1,HGNC:882
ATXN10,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; blueprintgenetics_nephrology,3,HGNC:10549
AVIL,preventiongenetics_comprehensive_inherited_kidney_diseases_panel,1,HGNC:14188
AVP,cegat_kidney_diseases_genes; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:894
AVPR2,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,8,HGNC:897
B2M,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,3,HGNC:914
B9D1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:24123
B9D2,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,7,HGNC:28636
BAAT,centogene_nephrology,1,HGNC:932
BBIP1,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:28093
BBS1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:966
BBS10,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:26291
BBS12,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:26648
BBS2,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:967
BBS4,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:969
BBS5,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:970
BBS7,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:18758
BBS9,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:30000
BCS1L,centogene_nephrology; cegat_kidney_diseases_genes; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,4,HGNC:1020
BICC1,centogene_nephrology; cegat_kidney_diseases_genes; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,9,HGNC:19351
BLK,mgz_nephrologie,2,HGNC:1057
BMP1,centogene_nephrology,1,HGNC:1067
BMP4,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; blueprintgenetics_nephrology,12,HGNC:1071
BMP7,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie,5,HGNC:1074
BMPR1B,centogene_nephrology,1,HGNC:1077
BMPR2,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:1078
BNC2,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie,5,HGNC:30988
BRAF,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:1097
BSCL2,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:15832
BSND,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:16512
C1QA,cegat_kidney_diseases_genes,1,HGNC:1241
C1QB,cegat_kidney_diseases_genes; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:1242
C1QC,cegat_kidney_diseases_genes,1,HGNC:1245
C2,mayocliniclabs_renal_genetics,1,HGNC:1248
C2CD3,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:24564
C3,cegat_kidney_diseases_genes; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,4,HGNC:1318
C5,mayocliniclabs_renal_genetics,1,HGNC:1331
C8A,mayocliniclabs_renal_genetics,1,HGNC:1352
CA2,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:1373
CABP4,centogene_nephrology,1,HGNC:1386
CACNA1D,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics,6,HGNC:1391
CACNA1H,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,7,HGNC:1395
CANT1,centogene_nephrology,1,HGNC:19721
CASP10,centogene_nephrology,1,HGNC:1500
CASR,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:1514
CAV1,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:1527
CBL,invitae_expanded_renal_disease_panel,1,HGNC:1541
CC2D2A,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:29253
CCDC103,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:32700
CCDC28B,centogene_nephrology; cegat_kidney_diseases_genes,2,HGNC:28163
CCDC39,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:25244
CCDC40,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:26090
CCDC65,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:29937
CCN6,centogene_nephrology,1,HGNC:12771
CCNO,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:18576
CCNQ,blueprintgenetics_nephrology,1,HGNC:28434
CD151,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:1630
CD2AP,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,12,HGNC:14258
CD46,cegat_kidney_diseases_genes; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,4,HGNC:6953
CDC5L,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie; blueprintgenetics_nephrology,5,HGNC:1743
CDC73,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:16783
CDK20,preventiongenetics_comprehensive_inherited_kidney_diseases_panel,1,HGNC:21420
CDKN1C,centogene_nephrology; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,4,HGNC:1786
CEL,mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel,3,HGNC:1848
CELSR2,cegat_kidney_diseases_genes,1,HGNC:3231
CENPF,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:1857
CENPJ,centogene_nephrology,1,HGNC:17272
CEP104,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:24866
CEP120,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,7,HGNC:26690
CEP152,centogene_nephrology,1,HGNC:29298
CEP164,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:29182
CEP19,cegat_kidney_diseases_genes; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; blueprintgenetics_nephrology,4,HGNC:28209
CEP290,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:29021
CEP41,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,7,HGNC:12370
CEP55,centogene_nephrology; cegat_kidney_diseases_genes; mgz_nephrologie; blueprintgenetics_nephrology,5,HGNC:1161
CEP83,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:17966
CEP89,invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel,2,HGNC:25907
CFAP298,centogene_nephrology; blueprintgenetics_nephrology,2,HGNC:1301
CFAP300,blueprintgenetics_nephrology,1,HGNC:28188
CFAP410,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:1260
CFAP418,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,8,HGNC:27232
CFAP53,centogene_nephrology,1,HGNC:26530
CFAP57,blueprintgenetics_nephrology,1,HGNC:26485
CFB,cegat_kidney_diseases_genes; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,3,HGNC:1037
CFH,cegat_kidney_diseases_genes; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:4883
CFHR1,cegat_kidney_diseases_genes; mayocliniclabs_renal_genetics,2,HGNC:4888
CFHR2,cegat_kidney_diseases_genes; mayocliniclabs_renal_genetics,2,HGNC:4890
CFHR3,cegat_kidney_diseases_genes; mayocliniclabs_renal_genetics,2,HGNC:16980
CFHR4,cegat_kidney_diseases_genes; mayocliniclabs_renal_genetics,2,HGNC:16979
CFHR5,cegat_kidney_diseases_genes; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:24668
CFI,cegat_kidney_diseases_genes; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,5,HGNC:5394
CFTR,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:1884
CHD1L,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie; blueprintgenetics_nephrology,7,HGNC:1916
CHD7,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,7,HGNC:20626
CHRM3,invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel,8,HGNC:1952
CHRNA3,centogene_nephrology; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel,5,HGNC:1957
CHST3,centogene_nephrology,1,HGNC:1971
CHSY1,centogene_nephrology,1,HGNC:17198
CILK1,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:21219
CISD2,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:24212
CLCN2,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel,5,HGNC:2020
CLCN5,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:2023
CLCNKA,centogene_nephrology; cegat_kidney_diseases_genes; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:2026
CLCNKB,centogene_nephrology; cegat_kidney_diseases_genes; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:2027
